Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of transforming growth factor beta production (GO:0071634)	3/18	0.0023070822755971	0.6320704341241352	0	0	13.255892255892256	80.48675062203912	TGFB2;FN1;LTBP1
GO_Biological_Process_2021	positive regulation of stress-activated protein kinase signaling cascade (GO:0070304)	3/18	0.0023070822755971	0.6320704341241352	0	0	13.255892255892256	80.48675062203912	TGFB2;TAOK1;TAOK2
GO_Biological_Process_2021	contact inhibition (GO:0060242)	2/6	0.0032324081409973	0.6320704341241352	0	0	33.04697986577181	189.5088268959128	YAP1;PTPRJ
GO_Biological_Process_2021	regulation of protein localization to cilium (GO:1903564)	2/6	0.0032324081409973	0.6320704341241352	0	0	33.04697986577181	189.5088268959128	GAS8;LZTFL1
GO_Biological_Process_2021	N-terminal peptidyl-methionine acetylation (GO:0017196)	2/6	0.0032324081409973	0.6320704341241352	0	0	33.04697986577181	189.5088268959128	NAA30;NAA16
GO_Biological_Process_2021	response to progesterone (GO:0032570)	3/21	0.0036374889625204	0.6320704341241352	0	0	11.044893378226712	62.033220427859725	YAP1;TGFB2;CATSPER2
GO_Biological_Process_2021	regulation of nucleic acid-templated transcription (GO:1903506)	14/430	0.0056937506607795	0.6320704341241352	0	0	2.2691635287789134	11.72791319743258	PHF1;WWC1;TGFBRAP1;SOX12;HCFC2;ZNF280D;NIF3L1;SOX18;ZNF506;NUP35;GTF2IRD1;ERC1;ZNF268;ZNF114
GO_Biological_Process_2021	response to ketone (GO:1901654)	3/28	0.0082940733745661	0.6320704341241352	0	0	7.94949494949495	38.09568155028029	YAP1;TGFB2;CATSPER2
GO_Biological_Process_2021	negative regulation of microtubule polymerization or depolymerization (GO:0031111)	3/32	0.0120179153190555	0.6320704341241352	0	0	6.851619644723093	30.29345510221747	APC;TAOK1;DYRK1A
GO_Biological_Process_2021	peptidyl-methionine modification (GO:0018206)	2/12	0.0134021306472713	0.6320704341241352	0	0	13.21476510067114	56.98658102858597	NAA30;NAA16
GO_Biological_Process_2021	response to steroid hormone (GO:0048545)	3/34	0.0141848003649159	0.6320704341241352	0	0	6.408927989573151	27.2737332328918	YAP1;TGFB2;CATSPER2
GO_Biological_Process_2021	post-translational protein modification (GO:0043687)	11/345	0.0155190951478703	0.6320704341241352	0	0	2.2069287031473386	9.193367738474777	DCAF17;KLHL25;FN1;ASB7;FAM20C;FBXL18;FBXL3;LTBP1;ASB1;DCAF6;CUL4B
GO_Biological_Process_2021	intraciliary transport involved in cilium assembly (GO:0035735)	3/40	0.0219347094567028	0.6320704341241352	0	0	5.368004368004368	20.504085711257854	IFT74;IFT172;HSPB11
GO_Biological_Process_2021	positive regulation of cellular protein localization (GO:1903829)	4/71	0.0219913857502484	0.6320704341241352	0	0	3.959862847922549	15.115210134265594	YAP1;CARD10;APC;GAS8
GO_Biological_Process_2021	N-terminal protein amino acid acetylation (GO:0006474)	2/16	0.0234268991753212	0.6320704341241352	0	0	9.437200383509108	35.4260269843418	NAA30;NAA16
GO_Biological_Process_2021	positive regulation of transferase activity (GO:0051347)	6/148	0.0243634216780919	0.6320704341241352	0	0	2.810865191146881	10.441443297969668	EPHA7;HMBOX1;DSTYK;TYRO3;NAF1;SORL1
GO_Biological_Process_2021	regulation of cellular macromolecule biosynthetic process (GO:2000112)	13/468	0.0250104588526278	0.6320704341241352	0	0	1.9158785465405677	7.066643658868261	PHF1;WWC1;TGFBRAP1;SOX12;HCFC2;ZNF280D;SOX18;ZNF506;NUP35;GTF2IRD1;ERC1;ZNF268;ZNF114
GO_Biological_Process_2021	mitotic nuclear division (GO:0140014)	4/74	0.0251593464550974	0.6320704341241352	0	0	3.7895752895752897	13.95520886221466	DSN1;STAG1;STAG2;MZT1
GO_Biological_Process_2021	amyloid-beta metabolic process (GO:0050435)	2/17	0.0262912922530724	0.6320704341241352	0	0	8.807606263982104	32.04662941593047	BACE2;DYRK1A
GO_Biological_Process_2021	embryo development ending in birth or egg hatching (GO:0009792)	2/17	0.0262912922530724	0.6320704341241352	0	0	8.807606263982104	32.04662941593047	STOX2;TGFB2
GO_Biological_Process_2021	regulation of stem cell proliferation (GO:0072091)	2/17	0.0262912922530724	0.6320704341241352	0	0	8.807606263982104	32.04662941593047	YAP1;AGO3
GO_Biological_Process_2021	positive regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045737)	2/17	0.0262912922530724	0.6320704341241352	0	0	8.807606263982104	32.04662941593047	PSRC1;CCNY
GO_Biological_Process_2021	positive regulation of transcription of Notch receptor target (GO:0007221)	2/17	0.0262912922530724	0.6320704341241352	0	0	8.807606263982104	32.04662941593047	PLXND1;WWC1
GO_Biological_Process_2021	preassembly of GPI anchor in ER membrane (GO:0016254)	2/17	0.0262912922530724	0.6320704341241352	0	0	8.807606263982104	32.04662941593047	PIGQ;PIGL
GO_Biological_Process_2021	mitotic spindle assembly (GO:0090307)	3/44	0.0281513633208773	0.6320704341241352	0	0	4.843311160384332	17.29139332642442	STAG1;STAG2;MZT1
GO_Biological_Process_2021	negative regulation of protein serine/threonine kinase activity (GO:0071901)	4/78	0.0297903593796715	0.6320704341241352	0	0	3.58400292184076	12.592646753735776	UCHL1;APC;PTPRJ;SORL1
GO_Biological_Process_2021	negative regulation of MAP kinase activity (GO:0043407)	3/48	0.0352040940201641	0.6320704341241352	0	0	4.411896745230078	14.764822304370576	UCHL1;PTPRJ;SORL1
GO_Biological_Process_2021	branched-chain amino acid catabolic process (GO:0009083)	2/20	0.0356679174704405	0.6320704341241352	0	0	7.33855331841909	24.463094379361685	AUH;DBT
GO_Biological_Process_2021	branched-chain amino acid metabolic process (GO:0009081)	2/20	0.0356679174704405	0.6320704341241352	0	0	7.33855331841909	24.463094379361685	AUH;DBT
GO_Biological_Process_2021	positive regulation of cyclin-dependent protein kinase activity (GO:1904031)	2/20	0.0356679174704405	0.6320704341241352	0	0	7.33855331841909	24.463094379361685	PSRC1;CCNY
GO_Biological_Process_2021	regulation of stress-activated MAPK cascade (GO:0032872)	3/49	0.0370965036643864	0.6320704341241352	0	0	4.31576635924462	14.217138038937916	TGFB2;TAOK1;TAOK2
GO_Biological_Process_2021	regulation of anatomical structure morphogenesis (GO:0022603)	5/123	0.0380096752683033	0.6320704341241352	0	0	2.8126975007181843	9.197280452364224	ZRANB1;SIPA1L1;INF2;PLXND1;RUFY3
GO_Biological_Process_2021	negative regulation of microtubule depolymerization (GO:0007026)	2/21	0.0390395478676558	0.6320704341241352	0	0	6.951960438007771	22.54645973993538	APC;TAOK1
GO_Biological_Process_2021	regulation of MAPK cascade (GO:0043408)	6/166	0.0394235403620639	0.6320704341241352	0	0	2.49234693877551	8.0587350766971	EPHA7;WWC1;TAOK1;TAOK2;FN1;PTPRJ
GO_Biological_Process_2021	regulation of axonogenesis (GO:0050770)	3/51	0.0410344816498745	0.6320704341241352	0	0	4.135521885521886	13.206138003009	SIPA1L1;PLXND1;RUFY3
GO_Biological_Process_2021	negative regulation of protein depolymerization (GO:1901880)	2/24	0.0498323770286696	0.6320704341241352	0	0	6.003050640634533	18.003691337316972	APC;TAOK1
GO_Biological_Process_2021	positive regulation of neuron apoptotic process (GO:0043525)	2/24	0.0498323770286696	0.6320704341241352	0	0	6.003050640634533	18.003691337316972	EPHA7;TGFB2
GO_Biological_Process_2021	positive regulation of viral life cycle (GO:1903902)	2/24	0.0498323770286696	0.6320704341241352	0	0	6.003050640634533	18.003691337316972	TYRO3;VPS37B
GO_Biological_Process_2021	negative regulation of MAPK cascade (GO:0043409)	4/94	0.0530611328013025	0.6320704341241352	0	0	2.9444444444444446	8.645803377565956	RPS6KA6;UCHL1;PTPRJ;SORL1
GO_Biological_Process_2021	regulation of microtubule depolymerization (GO:0031114)	2/25	0.0536422733042729	0.6320704341241352	0	0	5.741756638459294	16.797037307112124	APC;TAOK1
GO_Biological_Process_2021	regulation of rhodopsin mediated signaling pathway (GO:0022400)	2/25	0.0536422733042729	0.6320704341241352	0	0	5.741756638459294	16.797037307112124	NMT2;PDE6B
GO_Biological_Process_2021	negative regulation of gene expression (GO:0010629)	9/322	0.0546638603482643	0.6320704341241352	0	0	1.9156483646783704	5.567932497954252	NANOS1;YAP1;TGFB2;AGO3;PHF1;SHMT1;WWP2;ASB1;NUDT12
GO_Biological_Process_2021	negative regulation of protein transport (GO:0051224)	2/26	0.0575517089431874	0.6320704341241352	0	0	5.502237136465324	15.709280155741869	WWP2;SERGEF
GO_Biological_Process_2021	hippo signaling (GO:0035329)	2/26	0.0575517089431874	0.6320704341241352	0	0	5.502237136465324	15.709280155741869	YAP1;WWC1
GO_Biological_Process_2021	protein maturation (GO:0051604)	4/97	0.0582709827782144	0.6320704341241352	0	0	2.84902644580064	8.09878796643954	CPM;SDE2;NAA16;SORL1
GO_Biological_Process_2021	mitotic DNA damage checkpoint signaling (GO:0044773)	3/59	0.0587740315426661	0.6320704341241352	0	0	3.5432900432900434	10.041879437862876	TAOK1;TAOK2;SDE2
GO_Biological_Process_2021	ribonucleoprotein complex biogenesis (GO:0022613)	3/60	0.0612078462485866	0.6320704341241352	0	0	3.480949849370902	9.723963405815814	NOP14;NAF1;CUL4B
GO_Biological_Process_2021	entrainment of circadian clock by photoperiod (GO:0043153)	2/27	0.0615568629992646	0.6320704341241352	0	0	5.281879194630872	14.724790756392848	PDE6B;FBXL3
GO_Biological_Process_2021	photoperiodism (GO:0009648)	2/28	0.0656540060350919	0.6320704341241352	0	0	5.078471863706763	13.830490167554302	PDE6B;FBXL3
GO_Biological_Process_2021	regulation of protein transport (GO:0051223)	2/28	0.0656540060350919	0.6320704341241352	0	0	5.078471863706763	13.830490167554302	STXBP5;WWP2
GO_Biological_Process_2021	GPI anchor metabolic process (GO:0006505)	2/28	0.0656540060350919	0.6320704341241352	0	0	5.078471863706763	13.830490167554302	PIGQ;PIGL
GO_Biological_Process_2021	protein localization to lysosome (GO:0061462)	2/28	0.0656540060350919	0.6320704341241352	0	0	5.078471863706763	13.830490167554302	KPTN;SORL1
GO_Biological_Process_2021	protein retention in Golgi apparatus (GO:0045053)	1/5	0.0727902818652292	0.6320704341241352	0	0	16.468227424749163	43.149601950408574	SORL1
GO_Biological_Process_2021	protein side chain deglutamylation (GO:0035610)	1/5	0.0727902818652292	0.6320704341241352	0	0	16.468227424749163	43.149601950408574	AGBL3
GO_Biological_Process_2021	amino-acid betaine biosynthetic process (GO:0006578)	1/5	0.0727902818652292	0.6320704341241352	0	0	16.468227424749163	43.149601950408574	SHMT1
GO_Biological_Process_2021	negative regulation of histone H3-K27 methylation (GO:0061086)	1/5	0.0727902818652292	0.6320704341241352	0	0	16.468227424749163	43.149601950408574	PHF1
